1586476800000,2.989e-05,0.00019455,2.989e-05,0.00013792,69159696.0
1586563200000,0.00013793,0.00015333,0.00011151,0.00011455,29221929.0
1586649600000,0.00011467,0.0001355,0.00011042,0.00012726,21984081.0
1586736000000,0.00012772,0.00012822,0.000113,0.00011375,10950524.0
1586822400000,0.00011357,0.0001165,9.105e-05,9.7e-05,12645953.0
1586908800000,9.713e-05,0.00010353,9.201e-05,9.627e-05,8413113.0
1586995200000,9.611e-05,0.00011365,9.497e-05,9.725e-05,17860049.0
1587081600000,9.713e-05,0.00010094,9.304e-05,9.321e-05,4357167.0
1587168000000,9.325e-05,9.985e-05,9.31e-05,9.348e-05,3994742.0
1587254400000,9.348e-05,9.392e-05,8.329e-05,8.477e-05,4397843.0
1587340800000,8.478e-05,8.913e-05,7.624e-05,7.777e-05,4542657.0
1587427200000,7.777e-05,8.695e-05,7.428e-05,8.44e-05,6140323.0
1587513600000,8.422e-05,9.983e-05,8.27e-05,9.727e-05,15462983.0
1587600000000,9.727e-05,9.822e-05,8.11e-05,8.426e-05,10371579.0
1587686400000,8.445e-05,8.879e-05,8.132e-05,8.328e-05,3667234.0
1587772800000,8.353e-05,8.885e-05,8.2e-05,8.564e-05,2360904.0
1587859200000,8.564e-05,9.093e-05,8.143e-05,8.272e-05,2708455.0
1587945600000,8.272e-05,8.496e-05,7.298e-05,7.322e-05,3738309.0
1588032000000,7.363e-05,9.068e-05,7.329e-05,8.468e-05,6838281.0
1588118400000,8.495e-05,9.5e-05,8.087e-05,8.503e-05,7423736.0
1588204800000,8.498e-05,9.088e-05,7.768e-05,8.015e-05,3513976.0
1588291200000,8.012e-05,8.4e-05,7.748e-05,8.201e-05,2361557.0
1588377600000,8.201e-05,8.455e-05,7.888e-05,7.938e-05,1512249.0
1588464000000,7.922e-05,7.998e-05,7.318e-05,7.657e-05,1514748.0
1588550400000,7.67e-05,7.964e-05,7.067e-05,7.5e-05,1914032.0
1588636800000,7.509e-05,7.679e-05,7.072e-05,7.173e-05,1251358.0
1588723200000,7.174e-05,7.406e-05,6.7e-05,6.754e-05,1145550.0
