1508716800000,6e-05,7.99e-05,6e-05,6.887e-05,23123.0
1508803200000,6.601e-05,7.75e-05,6.6e-05,7.623e-05,116111.0
1508889600000,7.307e-05,7.599e-05,6.8e-05,6.8e-05,30831.0
1508976000000,6.501e-05,7.5e-05,6.4e-05,6.901e-05,57083.0
1509062400000,6.997e-05,7.45e-05,6.45e-05,6.749e-05,501894.0
1509148800000,6.459e-05,6.897e-05,6.45e-05,6.463e-05,29312.0
1509235200000,6.894e-05,6.9e-05,6.398e-05,6.398e-05,79942.0
1509321600000,6.398e-05,7.734e-05,6.398e-05,6.832e-05,52592.0
1509408000000,7.093e-05,7.732e-05,6.048e-05,6.048e-05,51611.0
1509494400000,6e-05,6.945e-05,5.148e-05,5.5e-05,53571.0
1509580800000,5.301e-05,6.174e-05,4.505e-05,5.001e-05,49579.0
1509667200000,5.2e-05,5.691e-05,5e-05,5.5e-05,61592.0
1509753600000,5.6e-05,5.6e-05,5.234e-05,5.237e-05,38421.0
1509840000000,5.237e-05,6.279e-05,5.237e-05,5.87e-05,133131.0
1509926400000,6.174e-05,7.6e-05,5.849e-05,6.701e-05,84253.0
1510012800000,6.751e-05,7.198e-05,6.03e-05,6.492e-05,63986.0
1510099200000,6.492e-05,7.2e-05,6e-05,6.2e-05,71203.0
1510185600000,6.2e-05,7.1e-05,6.101e-05,6.658e-05,63188.0
1510272000000,7.021e-05,7.024e-05,6.012e-05,6.021e-05,84226.0
1510358400000,6.024e-05,6.897e-05,6.023e-05,6.558e-05,97849.0
1510444800000,6.888e-05,6.888e-05,5.397e-05,5.979e-05,131113.0
1510531200000,6.497e-05,6.497e-05,5.75e-05,6.15e-05,62850.0
1510617600000,6e-05,6.2e-05,5.752e-05,5.753e-05,52719.0
1510704000000,5.751e-05,5.885e-05,5.087e-05,5.089e-05,126925.0
1510790400000,5.114e-05,5.812e-05,4.441e-05,4.443e-05,78397.0
1510876800000,4.502e-05,4.859e-05,4.131e-05,4.549e-05,50775.0
1510963200000,4.65e-05,5.427e-05,4.201e-05,4.46e-05,100497.0
1511049600000,4.506e-05,4.778e-05,4.2e-05,4.263e-05,84026.0
